speaker1,speaker2,line_count,scene_count,word_count
ADELE,CHINO,11,4,51
ADELE,CHINO'S VOICE,18,6,198
ADELE,FOLEY,17,1,263
ADELE,KAREN,35,10,603
BUDDY,FOLEY,160,48,1995
BURDON,KAREN,60,9,797
CHINO,FOLEY,9,3,198
CHINO,KAREN,14,4,120
CRUZ,KAREN,30,5,372
FOLEY,GLENN,32,10,389
FOLEY,HEJIRA,27,1,181
FOLEY,KAREN,186,38,2305
FOLEY,MAURICE,52,17,610
FOLEY,PUP,9,1,70
FOLEY,RIPLEY,69,17,1084
GLENN,KAREN,50,10,689
GLENN,MAURICE,40,10,622
KAREN,KENNETH,13,3,159
KAREN,MARSHALL,69,13,794
KAREN,MOSELLE,25,6,203
KAREN,RAY,8,3,92
MAID,MAURICE,14,5,144
MARSHALL,RAY,13,6,223
MAURICE,RIPLEY,20,6,188
MAURICE,WHITE BOY BOB,11,5,79
