speaker1,speaker2,line_count,scene_count,word_count
ANDREW,BELINDA,47,8,453
ANDREW,INTERN,9,4,97
ANDREW,JOE,152,39,1666
ANDREW,KENTON,14,6,178
ANDREW,MIGUEL,56,15,624
ANDREW,RACHEL,7,2,101
ANDREW,SARAH,15,5,187
ANDREW,SEIDMAN,22,7,191
ANDREW,WHEELER,18,8,230
ANTHEA,BELINDA,7,2,63
ANTHEA,JOE,11,3,90
BELINDA,JOE,10,5,221
DR. ARMBRUSTER,JOE,20,6,253
JOE,JUDGE GARNETT,19,6,272
JOE,KENTON,19,6,237
JOE,LAIRD,18,5,237
JOE,LISA,34,9,397
JOE,MRS. FINLEY,7,2,80
JOE,WHEELER,13,5,206
JOE,YOUNG MAN,14,2,130
KENTON,WHEELER,14,7,151
SEIDMAN,WHEELER,20,5,350
