speaker1,speaker2,line_count,scene_count,word_count
ANAMARIA,JACK,12,4,108
BARBOSSA,ELIZABETH,32,11,368
BARBOSSA,JACK,52,18,742
BARBOSSA,PINTEL,11,5,120
BARBOSSA,WILL,14,5,165
ELIZABETH,JACK,56,19,755
ELIZABETH,NORRINGTON,32,11,434
ELIZABETH,PINTEL,8,2,109
ELIZABETH,SWANN,17,7,158
ELIZABETH,WILL,15,5,146
GIBBS,JACK,22,7,288
GIBBS,WILL,15,6,290
GILLETTE,JACK,7,2,102
GILLETTE,NORRINGTON,9,4,107
JACK,MURTOGG,12,5,159
JACK,NORRINGTON,19,7,265
JACK,WILL,98,31,1244
MULLROY,MURTOGG,26,4,214
NORRINGTON,SWANN,15,5,89
