speaker1,speaker2,line_count,scene_count,word_count
BETTY,BRANDON,208,44,2969
BETTY,KILLAINE,105,20,1593
BETTY,MANAGER,6,1,77
BETTY,MITCHELL,61,14,590
BETTY,PORTER,9,2,121
BETTY,WAITER,7,1,35
BRANDON,GOBLE,34,6,410
BRANDON,KILLAINE,80,19,861
BRANDON,MAN,10,3,98
BRANDON,MARGO,15,5,97
BRANDON,MITCHELL,12,3,121
BRANDON,SECRETARY,8,2,66
CAMPBELL,MITCHELL,7,2,56
CLARENDON,KILLAINE,7,2,53
CLARENDON,MARGO,27,5,409
DRISCOLL,KILLAINE,30,7,489
GOBLE,MAGRUDER,14,4,138
GORE,KILLAINE,60,14,876
KILLAINE,MARGO,40,8,579
KILLAINE,MCKECHNIE,40,11,730
KILLAINE,TECHNICIAN,16,4,144
MARGO,MITCHELL,53,9,538
