speaker1,speaker2,line_count,scene_count,word_count
BARRY,CHECK OUT GIRL,9,1,82
BARRY,CUSTOMER,9,4,89
BARRY,DAVID,26,6,273
BARRY,DEAN,21,4,321
BARRY,ELIZABETH,87,13,856
BARRY,KAREN,16,2,153
BARRY,KATHLEEN,34,2,153
BARRY,LANCE,50,12,463
BARRY,LATISHA,8,3,113
BARRY,LENA,209,33,2133
BARRY,MANAGER,30,3,154
BARRY,OPERATOR,16,3,161
BARRY,OPERATOR GIRL,32,1,318
BARRY,OPERATOR VOICE,7,1,118
BARRY,SEXY VOICE,114,9,888
BARRY,VOICE,13,1,103
BARRY,WALTER,20,3,191
DAVID,DEAN,13,3,225
DEAN,LATISHA,13,3,175
ELIZABETH,LENA,38,8,351
