speaker1,speaker2,line_count,scene_count,word_count
ABBE DU MAUPAS,ROYER-COLLARD,11,4,160
CHARLOTTE,MADELEINE,10,3,146
CLEANTE,THE MARQUIS,12,5,197
COULMIER,MADELEINE,39,14,434
COULMIER,ROYER-COLLARD,88,24,997
COULMIER,THE MARQUIS,123,27,1413
COULMIER,VALCOUR,7,2,67
DELBENČ,NAPOLEON,8,2,102
DELBENČ,ROYER-COLLARD,8,3,104
HORSEMAN,MADELEINE,8,2,80
INGENUE,LIBERTINE,11,4,180
MADAME LECLERC,MADELEINE,12,4,135
MADELEINE,THE MARQUIS,55,17,619
MONSIEUR PROUIX,SIMONE,6,1,79
RENEE PELAGIE,ROYER-COLLARD,40,12,539
RENEE PELAGIE,THE MARQUIS,17,6,300
ROYER-COLLARD,SIMONE,8,2,54
