speaker1,speaker2,line_count,scene_count,word_count
ADRIAN,PAULIE,40,9,570
ADRIAN,ROCKY,131,29,1223
APOLLO,COMMENTATOR,12,3,206
APOLLO,JERGENS,21,7,368
APOLLO,TRAINER,30,8,338
BODYGUARD,ROCKY,11,3,63
CHIPPED TOOTH,ROCKY,13,3,76
CLEANER,ROCKY,26,7,341
COMMENTATOR #1,COMMENTATOR #2,17,6,588
DIPPER,MICKEY,9,3,119
FATS,ROCKY,18,4,172
GAZZO,ROCKY,38,10,601
JERGENS,ROCKY,19,2,164
MARIE,ROCKY,30,7,329
MICKEY,ROCKY,115,26,1102
MIKE,ROCKY,13,5,118
OWNER,ROCKY,8,3,83
PAULIE,ROCKY,93,17,920
REPORTER,ROCKY,10,3,82
REPORTER #2,ROCKY,8,2,86
