speaker1,speaker2,line_count,scene_count,word_count
DAPPER GENT,GREGOR,10,3,103
DEIRDRE,GREGOR,24,8,393
DEIRDRE,LARRY,23,8,281
DEIRDRE,SAM,41,12,811
DEIRDRE,SEAMUS,27,8,316
DEIRDRE,VINCENT,20,7,230
EDVARD,GREGOR,10,1,113
FRANCOIS,VINCENT,15,4,157
GREGOR,MIKHI,10,3,106
GREGOR,PHONE VOICE,8,2,112
GREGOR,SAM,12,3,141
GREGOR,SEAMUS,11,4,214
GREGOR,SWEDE,16,3,153
JEAN-PIERRE,SAM,31,8,461
JEAN-PIERRE,VINCENT,11,2,92
LARRY,SAM,16,5,272
LARRY,SWEDE,22,6,173
SAM,TONY,11,4,109
SAM,VINCENT,209,47,2451
SEAMUS,VINCENT,8,3,58
TONY,VINCENT,19,7,251
