speaker1,speaker2,line_count,scene_count,word_count
ALEX,BRENDA,7,2,99
ALEX,CINDY,15,4,356
ALEX,THEO,8,3,67
BRENDA,CINDY,24,8,183
BRENDA,PROFESSOR,7,1,95
BRENDA,RAY,19,6,110
BUDDY,CINDY,92,26,851
CINDY,DWIGHT,12,6,96
CINDY,HANSON,24,10,181
CINDY,MCFEELY,10,2,65
CINDY,PROFESSOR,29,13,301
CINDY,RAY,18,5,143
CINDY,SHORTY,33,9,311
CINDY,THEO,13,5,88
DWIGHT,HANSON,7,2,82
DWIGHT,PROFESSOR,66,17,831
DWIGHT,RAY,13,5,111
DWIGHT,THEO,19,7,133
FATHER MCFEELY,HARRIS,18,7,103
FATHER MCFEELY,MOTHER,8,2,83
HANSON,SHORTY,11,5,84
RAY,TOMMY,17,3,124
