speaker1,speaker2,line_count,scene_count,word_count
CAPTAIN TYLER,DEWEY,12,5,152
CAPTAIN TYLER,SHERIFF,13,5,110
CICI,DAWNIE,7,2,60
CICI,GIRL ON PHONE,24,7,155
CICI,MAN'S VOICE,24,4,161
COTTON,GALE,9,3,139
COTTON,SIDNEY,21,4,247
DEBBIE SALT,GALE,27,6,236
DEREK,HALLIE,45,12,440
DEREK,MICKEY,17,5,117
DEREK,SIDNEY,32,12,329
DEWEY,GALE,59,16,601
DEWEY,SIDNEY,19,5,223
GALE,MAN'S VOICE,20,7,112
GALE,SIDNEY,12,3,92
GALE,VOICE,7,1,38
HALLIE,MICKEY,16,7,127
HALLIE,SIDNEY,26,10,205
IN THE THEATER,ON SCREEN,10,4,294
JOEL,MICKEY,10,4,72
JOEL,SIDNEY,10,4,97
LOIS,MURPHY,8,2,67
MAN'S VOICE,RANDY,10,3,122
MAUREEN,PHIL,21,7,180
MICKEY,SIDNEY,8,3,47
RANDY,SIDNEY,12,3,188
