speaker1,speaker2,line_count,scene_count,word_count
ANJANETTE,GEORGE,19,4,138
FELICIA,GEORGE,93,19,683
FELICIA,LESTER,39,10,459
FELICIA'S VOICE,GEORGE'S VOICE,31,6,158
GEORGE,GIRL,11,3,61
GEORGE,GLORIA,9,1,61
GEORGE,JACKIE,195,52,1467
GEORGE,JILL,208,38,1374
GEORGE,LESTER,132,32,1521
GEORGE,LORNA,58,9,331
GEORGE,MARY,24,6,213
GEORGE,NORMAN,16,3,99
GEORGE,OPERATOR'S VOICE,6,1,23
GEORGE,PETTIS,26,4,262
GEORGE,RICCI,16,3,176
GEORGE'S VOICE,JILL'S VOICE,10,1,50
GEORGE'S VOICE,TINA'S VOICE,14,1,46
IZZY,JILL,7,1,30
JACKIE,JILL,65,7,725
JACKIE,LEONARD,11,2,46
JACKIE,LESTER,62,19,619
JACKIE,SID ROTH,8,1,57
JILL,LESTER,16,5,104
JILL,POPE,60,18,457
JILL,PRODUCER,16,4,69
LESTER,POPE,12,5,89
