speaker1,speaker2,line_count,scene_count,word_count
ANSALONG,RICKY,7,2,66
AUDIENCE,OSCAR,6,1,12
BERT,JANET,22,10,276
BERT,MAC,11,4,109
BERT,MOM,8,3,61
BERT,NATION,9,3,73
BERT,RALPH,16,5,105
BETTY,OLIVER,43,15,465
BETTY,RALPH,8,3,85
BRAD,FARLEY,8,2,124
BRAD,JANET,12,4,87
BRAD AND JANET,OLIVER AND BETTY,6,1,43
DAD,MOM,13,5,182
FARLEY,NEELY,7,1,74
JANET,MAC,27,10,383
JANET,MOM,17,5,136
JANET,NATION,11,5,91
JANET,PARKER,7,1,90
JANET,TRIO,10,2,50
KIDS,TEACHER,10,1,27
MAC,NATION,31,13,267
MACY,RALPH,8,3,78
MOM,NATION,9,3,48
