speaker1,speaker2,line_count,scene_count,word_count
DAWSON,EMMETT,10,4,217
EMMETT,HANNAH,28,9,269
EMMETT,HOBART,9,2,84
EMMETT,JAKE,21,8,246
EMMETT,LANGSTON,10,3,116
EMMETT,MAL,28,11,344
EMMETT,MCKENDRICK,9,4,49
EMMETT,PADEN,60,18,670
EZRA,MAL,14,3,197
HANNAH,PADEN,13,3,189
J.T.,KATE,8,3,164
JAKE,PADEN,26,7,184
KELLY,SHERIFF COBB,9,3,102
LANGSTON,MAL,7,1,134
LANGSTON,PADEN,9,2,99
LANGSTON,PROPRIETOR,7,2,69
MAL,PADEN,10,4,65
MAL,RAE,22,5,190
MCKENDRICK,SHERIFF COBB,7,2,63
PADEN,SHERIFF COBB,50,14,470
PADEN,STELLA,50,15,464
SHERIFF COBB,STELLA,8,3,95
