speaker1,speaker2,line_count,scene_count,word_count
DETECTIVE,VIKTOR,15,3,253
ELAINE,KENT,7,2,90
ELAINE,LAINEY,17,5,277
ELAINE,SIMONE,6,1,49
ELAINE,SIMONE / VIKTOR,19,3,347
ELAINE,VIKTOR,183,37,2867
FAITH,VIKTOR,18,4,199
FRANK BRAND,SIMONE,22,6,387
HAL,VIKTOR,37,8,445
HANK,VIKTOR,36,4,501
HARRY,PREMIERE REPORTER 2,6,1,75
LAINEY,VIKTOR,82,19,923
LAWYER,VIKTOR,8,2,123
MAX,MILTON,29,8,429
MAX,VIKTOR,47,12,823
NICOLA,VIKTOR,25,6,321
SECURITY GUARD,VIKTOR,6,1,78
SIMONE,VIKTOR,9,4,63
SIMONE / VIKTOR,VIKTOR,27,8,501
