speaker1,speaker2,line_count,scene_count,word_count
BISHOP O'HARA,MOTHER SUPERIOR,8,2,96
CHARLENE,CHRISTY,8,3,151
CHOIR,CHRISTY,24,6,101
CHRISTY,EDDIE,101,26,1473
CHRISTY,JOEY,12,4,78
CHRISTY,LAWANDA,16,5,197
CHRISTY,MARY LAZARUS,46,18,477
CHRISTY,MARY PATRICK,55,19,775
CHRISTY,MARY PATRICK AND ROBERT,7,1,30
CHRISTY,MARY ROBERT,93,32,946
CHRISTY,MOTHER SUPERIOR,170,37,2260
CHRISTY,RONELLES,13,1,82
CHRISTY,VINCE,36,11,489
EDDIE,TATE,9,3,89
JOEY,MIKE,10,4,88
JOEY,VINCE,31,14,219
JOEY,WILLY,16,7,119
MARY LAZARUS,MARY PATRICK,10,5,80
MARY PATRICK,MARY ROBERT,38,18,283
MARY PATRICK,MOTHER SUPERIOR,16,7,155
MARY ROBERT,MOTHER SUPERIOR,10,4,104
MOTHER SUPERIOR,O'HARA,12,3,160
VINCE,WILLY,15,7,178
