speaker1,speaker2,line_count,scene_count,word_count
ANNIE,BARBARA,33,6,492
ANNIE,BECKY,93,20,1011
ANNIE,DET. WHEEDLE,12,1,163
ANNIE,JONAH,14,6,130
ANNIE,LAURIE,8,2,85
ANNIE,SAM,13,5,98
ANNIE,SETH,11,3,93
ANNIE,TOM,12,1,230
ANNIE,WALTER,81,22,1024
ANNIE,WHEEDLE,12,1,179
BOB,SAM,9,3,156
DR. MARCIA FIELDSTONE,JONAH,25,6,289
DR. MARCIA FIELDSTONE,SAM,27,9,302
GREG,SUZY,8,2,63
JAY,SAM,19,3,310
JESSICA,JONAH,20,5,168
JONAH,SAM,175,42,1904
JONAH,VICTORIA,12,3,114
LULU,SAM,7,2,68
SAM,SUZY,19,7,253
SAM,VICTORIA,25,6,241
