speaker1,speaker2,line_count,scene_count,word_count
BILL,KARL,24,7,350
BILL,SCOOTER,10,3,295
BILL,WOOLRIDGE,26,6,540
BOY,KARL,26,4,205
CHARLES,KARL,6,1,228
DOYLE,FRANK,24,10,740
DOYLE,FREDDY,7,1,102
DOYLE,KARL,22,6,567
DOYLE,LINDA,56,15,949
DOYLE,VAUGHAN,27,11,403
FRANK,KAREN,11,3,211
FRANK,KARL,188,18,3638
FRANK,LINDA,38,10,645
KARL,LINDA,46,10,784
KARL,MELINDA,12,5,111
KARL,OLD MAN,7,2,72
KARL,VAUGHAN,48,7,1184
KARL,WOOLRIDGE,39,6,561
LINDA,VAUGHAN,18,6,270
MARSHA,THERESA,9,2,125
MARSHA,WOOLRIDGE,35,6,672
MELINDA,VAUGHAN,6,1,86
