speaker1,speaker2,line_count,scene_count,word_count
CARL,KABUO,11,5,191
DR. WHITMAN,NELS,17,5,205
ETTA,HOOKS,16,5,259
ETTA,NELS,8,1,71
GILLANDERS,NELS,18,7,341
HATSUE,HOOKS,26,9,290
HATSUE,ISHMAEL,29,13,426
HELEN,ISHMAEL,10,5,138
HOOKS,ISHMAEL,21,9,264
HOOKS,KABUO,17,7,262
HOOKS,MAPLES,9,3,116
HOOKS,MORAN,13,4,197
HOOKS,NELS,9,4,115
HOOKS,OLE,8,3,139
HOOKS,WHALEY,8,3,126
ISHMAEL,LEVANT,10,5,112
ISHMAEL,MORAN,12,6,100
ISHMAEL,NELS,41,14,518
KABUO,MORAN,11,5,112
KABUO,NELS,23,11,279
MORAN,NELS,41,9,500
NELS,SUSAN MARIE,17,5,183
NELS,WHALEY,25,6,296
