speaker1,speaker2,line_count,scene_count,word_count
BELLHOP,JOE,18,3,161
BIENSTOCK,JERRY,13,5,77
BIENSTOCK,SUE,12,5,181
DOLORES,JERRY,9,4,65
FIRST HENCHMAN,SPATS,10,3,167
JERRY,JOE,275,63,3324
JERRY,OSGOOD,70,12,595
JERRY,POLIAKOFF,14,5,139
JERRY,SUE,12,5,97
JERRY,SUGAR,140,34,1284
JOE,NELLIE,19,5,182
JOE,OSGOOD,7,2,189
JOE,POLIAKOFF,14,5,166
JOE,SPATS,10,3,108
JOE,SUE,10,4,98
JOE,SUGAR,348,60,4004
MOZARELLA,MULLIGAN,7,1,60
MULLIGAN,SPATS,36,3,337
MULLIGAN,TOOTHPICK CHARLIE,13,2,82
MULLIGAN,WAITER,11,3,89
PARADISE,SPATS,7,1,60
SPATS,TOOTHPICK CHARLIE,10,3,112
