speaker1,speaker2,line_count,scene_count,word_count
CAMILLE,CLARENCE,10,3,74
CAMILLE,DAVID LEE,67,16,802
CAMILLE'S VOICE OVER,DAVID'S IMAGES,8,1,118
CHARLIE,MRS. BOATWRIGHT,12,3,245
DAVID LEE,EARL,11,4,84
DAVID LEE,GUARD,8,2,44
DAVID LEE,MRS BOATWRIGHT,8,3,50
DAVID LEE,MRS. BOATWRIGHT,26,8,221
DAVID LEE,NATHAN LEE,87,29,1287
DAVID LEE,REBECCA,72,24,871
IKE,NATHAN LEE,13,3,233
JOSIE MAE,REBECCA,9,3,67
MR HOWARD,REBECCA,14,4,171
NATHAN LEE,REBECCA,36,13,434
PREACHER,REBECCA,6,1,165
REBECCA,SHERIFF YOUNG,12,1,146
