speaker1,speaker2,line_count,scene_count,word_count
BIG THING,STAN,12,2,121
CANADIAN MINISTER OF MOVIES,KYLE'S MOTHER,8,2,142
CARTMAN,CARTMAN'S MOTHER,17,6,163
CARTMAN,DOCTOR PANGLOSS,12,2,87
CARTMAN,KENNY,14,4,72
CARTMAN,KYLE,57,21,532
CARTMAN,MR. GARRISON,12,5,83
CARTMAN,MR. MACKEY,24,6,288
CARTMAN,STAN,25,11,182
CARTMAN,THE MOLE,8,3,96
CARTMAN'S MOTHER,KYLE'S MOTHER,9,4,107
CHEF,KYLE,9,4,65
CHEF,STAN,10,4,73
GREGORY,STAN,9,4,57
IKE,KYLE,12,5,64
KENNY,SADDAM HUSSEIN,9,3,87
KENNY,SATAN,16,6,127
KYLE,KYLE'S MOTHER,14,6,125
KYLE,STAN,75,32,741
KYLE,THE MOLE,25,9,223
KYLE,VOICE,9,2,25
KYLE'S MOTHER,MR. MACKEY,10,3,131
KYLE'S MOTHER,PRESIDENT,14,3,207
KYLE'S MOTHER,PRINCIPAL VICTORIA,15,4,210
KYLE'S MOTHER,SATAN,11,3,116
KYLE'S MOTHER,STAN'S MOTHER,12,6,178
PHILLIP,TERRANCE,44,19,428
SADDAM HUSSEIN,SATAN,54,19,777
STAN,THE MOLE,10,3,89
STAN,WENDY,32,11,200
