speaker1,speaker2,line_count,scene_count,word_count
BAGRADIAN,HOFFY,9,3,158
BAGRADIAN,P.O.W.S,6,1,25
BAGRADIAN,PRICE,15,4,217
BLONDIE,HOFFY,10,4,56
COOKIE,SEFTON,16,6,273
DUKE,HOFFY,15,7,143
DUKE,SCHULTZ,9,4,113
DUKE,SEFTON,40,16,540
DUNBAR,SEFTON,23,5,307
DUNBAR,VON SCHERBACH,25,5,410
GENEVA MAN,GERMAN LIEUTENANT,7,2,95
GENEVA MAN,VON SCHERBACH,15,4,182
HARRY,SCHULTZ,19,6,195
HARRY,STOSH,109,34,1101
HOFFY,PRICE,29,12,349
HOFFY,SCHULTZ,10,3,129
HOFFY,SEFTON,57,19,633
HOFFY,VON SCHERBACH,13,4,139
MARKO,STOSH,10,3,123
PRICE,SCHULTZ,15,5,165
PRICE,SEFTON,40,10,546
SCHULTZ,SEFTON,24,8,273
SCHULTZ,STOSH,20,7,264
SEFTON,STOSH,16,8,130
