speaker1,speaker2,line_count,scene_count,word_count
ADMIRAL HAYES,PICARD,8,2,110
BEVERLY,DOCTOR,9,4,97
BEVERLY,PICARD,38,10,507
BORG QUEEN,DATA,40,14,396
DATA,PICARD,16,7,131
DATA,TROI,9,4,126
DATA,WOMAN'S VOICE,7,2,96
DOCTOR,PICARD,10,4,82
GEORDI,PICARD,62,24,719
GEORDI'S VOICE,PICARD'S VOICE,10,2,82
PICARD,RIKER,22,8,209
PICARD,RUBY,58,13,658
PICARD,SCRIMM,34,9,297
PICARD,TROI,10,5,52
PICARD,WORF,18,8,131
RIKER,TROI,17,7,168
RIKER,WORF,36,14,329
RIKER'S COM VOICE,WORF,9,4,64
TROI,WORF,10,5,122
