speaker1,speaker2,line_count,scene_count,word_count
ANIJ,PICARD,65,21,1048
ARTIM,DATA,40,9,427
ARTIM,PICARD,7,2,65
CRUSHER,PICARD,12,5,90
CRUSHER,PICARD'S COM VOICE,6,1,71
DATA,PICARD,31,11,278
DOUGHERTY,PICARD,48,8,852
DOUGHERTY,RU'AFO,24,10,418
GALLATIN,PICARD,11,3,164
GALLATIN,RU'AFO,18,7,284
LA FORGE,PICARD,24,6,316
LA FORGE,RIKER,10,3,102
LA FORGE,RIKER'S COM VOICE,9,3,80
NARA,RIKER,9,4,69
PERIM,RIKER,12,5,102
PICARD,RIKER,25,10,255
PICARD,SOJEF,11,3,150
PICARD,TROI,9,4,111
PICARD,WORF,47,19,468
PICARD,WORF'S COM VOICE,10,4,87
RIKER,TROI,38,12,343
RU'AFO,SON'A OFFICER #2,9,3,68
