speaker1,speaker2,line_count,scene_count,word_count
AMANDA,SPOCK,14,1,153
BOB,GILLIAN,15,4,195
BONES,DOCTOR,11,3,110
BONES,KIRK,39,15,402
BONES,NICHOLS,9,4,126
BONES,SPOCK,38,9,438
CAPTAIN,SCIENCE OFFICER,7,2,53
CHEKOV,FBI AGENT,16,3,121
CHEKOV,KIRK,20,8,157
CHEKOV,UHURA,8,3,71
COUNCIL PRESIDENT,MORROW,6,1,52
GILLIAN,KIRK,134,30,1639
GILLIAN,SPOCK,13,6,133
KIRK,SAAVIK,8,2,109
KIRK,SCOTTY,53,17,548
KIRK,SPOCK,113,28,1209
KIRK,SULU,34,13,218
KIRK,UHURA,34,14,245
KLINGON AMBASSADOR,SAREK,7,2,146
NICHOLS,SCOTTY,23,6,209
PILOT,SULU,6,1,47
SAREK,SPOCK,9,2,96
SULU,THE BOY,7,2,97
