speaker1,speaker2,line_count,scene_count,word_count
BONES,KIRK,66,24,706
BONES,SPOCK,11,2,185
CAROL,CHEKOV,13,4,212
CAROL,DAVID,27,10,366
CAROL,KIRK,21,5,256
CHEKOV,KHAN,14,4,276
CHEKOV,TERRELL,22,8,197
DAVID,KIRK,32,8,281
DAVID,SAAVIK,8,3,42
JOACHIM,KHAN,29,12,247
KHAN,KIRK,22,8,312
KHAN,TERRELL,10,3,220
KIRK,PRESTON,11,4,117
KIRK,SAAVIK,91,30,675
KIRK,SCOTTY,17,6,186
KIRK,SCOTTY'S VOICE,12,4,120
KIRK,SPOCK,105,33,1162
KIRK,SPOCK'S VOICE,12,5,118
KIRK,SULU,25,11,205
KIRK,UHURA,19,8,119
KIRK,UHURA'S VOICE,10,3,118
SAAVIK,SPOCK,21,9,175
SAAVIK,SULU,18,8,114
