speaker1,speaker2,line_count,scene_count,word_count
ADMIRAL DONALD,PRESIDENT,7,2,75
BONES,CHANG,18,6,183
BONES,CHEKOV,12,6,124
BONES,KIRK,50,17,410
BONES,MARTIA,9,3,112
BONES,SPOCK,17,8,114
CHANG,KIRK,47,13,454
CHEKOV,KIRK,27,13,205
CHEKOV,SPOCK,15,5,165
COMMUNICATIONS OFFICER,SULU,9,4,63
GORKON,KIRK,14,5,171
KIRK,LT. SAAVIK,32,11,221
KIRK,MARTIA,25,8,208
KIRK,MARTIA'S VOICE,11,5,81
KIRK,SCOTTY,8,3,36
KIRK,SPOCK,70,23,791
KIRK,SULU,15,2,167
KIRK,UHURA,15,7,108
LT. SAAVIK,SPOCK,33,12,416
LT. SAAVIK,UHURA,8,3,87
OFFICER,SULU,7,1,50
SCIENCE OFFICER,SULU,13,5,150
SCOTTY,SPOCK,32,10,291
SPOCK,UHURA,22,10,317
