speaker1,speaker2,line_count,scene_count,word_count
ADMIRAL,VADER,6,1,47
ADMIRAL PIETT,VADER,9,3,133
BEN,LUKE,19,4,236
BEN,YODA,16,7,224
CHEWIE,HAN,11,5,107
CHEWIE,LANDO,13,6,74
CHEWIE,LEIA,12,6,60
CREATURE,LUKE,30,7,356
DECK SERGEANT,HAN,12,3,110
EMPEROR,VADER,11,1,122
HAN,LANDO,27,9,346
HAN,LEIA,157,47,1836
HAN,LUKE,13,5,160
HAN,RIEEKAN,13,3,203
HAN,THREEPIO,28,11,321
LANDO,LEIA,46,18,496
LANDO,VADER,12,3,163
LEIA,LUKE,22,7,208
LEIA,RIEEKAN,11,5,121
LEIA,THREEPIO,17,8,128
LUKE,VADER,14,5,171
LUKE,YODA,56,17,656
PIETT,VADER,8,3,82
