speaker1,speaker2,line_count,scene_count,word_count
ACE,JOHNNY,41,16,401
C.O.,JOHNNY,11,3,149
CARL,JOHNNY,38,13,492
CARMEN,DELADIER,15,7,134
CARMEN,JOHNNY,108,39,988
CARMEN,ZANDER,75,25,640
DELADIER,ZANDER,9,4,90
DIZZY,JOHNNY,56,17,395
FATHER,JOHNNY,20,7,289
FATHER,MOTHER,14,6,183
GILLESPIE,RASCZAK,9,4,125
INTELLIGENCE OFFICER,RASCZAK,7,2,125
JOHNNY,MOTHER,14,6,183
JOHNNY,PSYCH OFFICER,8,2,74
JOHNNY,RASCZAK,41,14,478
JOHNNY,RODGER YOUNG,6,1,73
JOHNNY,SUGAR WATKINS,9,3,112
JOHNNY,ZANDER,33,14,320
JOHNNY,ZIM,8,3,88
