speaker1,speaker2,line_count,scene_count,word_count
ANN,CAL,16,4,81
ANN,DOUG,49,10,564
ANN,JOE,277,59,2067
ANN,MAUDE,7,2,56
BARTENDER,DOC WILSON,8,3,110
BELLHOP,JOE,7,2,39
BILL,JOE,10,5,67
BILL,MARTY,8,3,109
BILL,WALT,24,7,248
BOB,CARLA,21,6,148
BOB,CLAIRE,11,3,96
BOB,FIRST A.D.,6,1,42
BOB,MARTY,17,5,149
BOB,WALT,41,9,374
CAL,MARTY,16,5,190
CARLA,MARTY,14,4,84
CARLA,WALT,9,2,45
CLAIRE,JOE,25,5,164
CLAIRE,MARTY,11,4,168
CLAIRE,WALT,73,15,826
CLERK,WALT,7,1,104
COSTUME DESIGNER,WALT,13,2,105
DOC WILSON,DOUG,7,2,27
DOC WILSON,JOE,9,2,173
DOUG,FIRST A.D.,26,3,161
DOUG,MARTY,26,7,228
DOUG,MAYOR,10,3,111
FIRST A.D.,WALT,31,8,376
JOE,MARTY,27,7,282
JOE,WALT,59,15,897
MARTY,SHERRY,6,1,75
MARTY,WALT,58,14,633
MAYOR,SHERRY,16,5,156
MAYOR,WALT,18,3,214
MORRIS,SPUD,23,6,201
UBERTO,WALT,12,4,127
