speaker1,speaker2,line_count,scene_count,word_count
BEE-BEE,BUFF,35,3,341
BEE-BEE,JEFF,38,7,572
BEE-BEE,SOOZE,19,6,124
BUFF,ERICA,31,8,240
BUFF,JEFF,136,18,1500
BUFF,NAZEER,32,10,403
BUFF,PONY,42,13,315
BUFF,SOOZE,15,7,104
BUFF,TIM,14,6,152
CHIP,TIM,11,3,89
ERICA,PONY,30,10,258
ERICA,TIM,56,7,595
GARY,NAZEER,7,2,26
JEFF,NAZEER,23,6,201
JEFF,PONY,75,16,828
JEFF,SOOZE,157,24,1361
JEFF,TIM,100,20,1502
NAZEER,TIM,31,8,370
PONY,SOOZE,93,18,867
PONY,TIM,40,9,451
SCUFF,TIM,10,3,60
SOOZE,SOOZE'S MOM,6,1,22
SOOZE,TIM,30,11,390
