speaker1,speaker2,line_count,scene_count,word_count
CANDY,MACKELWAY,6,1,56
DAITZ,MACKELWAY,9,3,335
DUNCAN,SALINAS,10,3,74
DYLAN,MACKELWAY,44,11,513
EAGLEFOOT,MACKELWAY,6,1,73
EAGLEFOOT,SALINAS,8,3,155
FOREMAN,ZERO,8,1,68
HAROLD,LOW,30,7,223
JANITA,MACKELWAY,12,3,113
KOESSLER,KULOK,15,5,133
KOESSLER,LOW,13,5,357
KOESSLER,MACKELWAY,83,15,1302
KOESSLER,SALINAS,12,3,195
KULOK,LOW,14,6,104
KULOK,MACKELWAY,170,32,2337
LOW,MACKELWAY,54,12,860
MACKELWAY,MURMAN,31,8,359
MACKELWAY,SALINAS,46,10,551
MACKELWAY,ZERO,7,2,181
