speaker1,speaker2,line_count,scene_count,word_count
BILLY,NEW JERSEY,9,3,128
BUCKAROO BANZAI,CASPER LINDLEY,8,3,109
BUCKAROO BANZAI,JOHN PARKER,13,6,134
BUCKAROO BANZAI,PENNY PRIDDY,71,18,878
BUCKAROO BANZAI,PERFECT TOMMY,25,11,229
BUCKAROO BANZAI,PROF. HIKITA,19,7,258
BUCKAROO BANZAI,RAWHIDE,28,11,317
BUCKAROO BANZAI,RENO,17,8,252
BUCKAROO BANZAI ON TV,PRESIDENT WIDMARK,9,3,145
JOHN BIGBOOTÉ,JOHN O'CONNOR,9,4,70
NATIONAL SECURITY MAN,PRESIDENT WIDMARK,7,1,84
PENNY PRIDDY,RENO,9,2,94
PERFECT TOMMY,RENO,21,8,181
PERFECT TOMMY,TV ANCHORWOMAN,9,4,92
