speaker1,speaker2,line_count,scene_count,word_count
AMERICA,RYAN,11,2,63
ASTRID,SALLY,13,2,122
CAL,JOE,43,6,662
CLAIR,MAC,19,5,270
CLAIR,SALLY,31,5,380
CLAIR,SOPHIA,20,3,216
GINA,JOE,41,10,309
GINA,SALLY,16,5,119
JEFFREY,MONICA,8,1,32
JERRY,JUDY,27,6,189
JERRY,MAC,15,4,108
JERRY,SALLY,39,8,320
JOE,JUDY,36,3,352
JOE,MAC,16,3,187
JOE,MONICA,79,13,823
JOE,PANES,9,3,49
JOE,SALLY,170,35,2128
JOE,SKYE,8,2,175
MAC,SALLY,12,6,52
MONICA,RYAN,32,7,374
MONICA,SALLY,20,5,94
PANES,SALLY,75,11,586
PANES,SKYE,39,5,376
RYAN,SALLY,13,5,148
SALLY,SKYE,9,4,129
SALLY,SOPHIA,60,8,779
