speaker1,speaker2,line_count,scene_count,word_count
BLONDE,DOBISCH,12,5,102
BUD,DOBISCH,31,6,644
BUD,DR. DREYFUSS,72,17,1003
BUD,FRAN,339,61,3896
BUD,KIRKEBY,40,11,546
BUD,MARGIE,46,9,467
BUD,MATUSCHKA,15,5,146
BUD,MOFFETT,9,2,73
BUD,MRS. DREYFUSS,21,5,417
BUD,MRS. LIEBERMAN,17,3,189
BUD,SHELDRAKE,160,24,2275
BUD,VANDERHOF,12,2,278
DOBISCH,KIRKEBY,14,4,132
DR. DREYFUSS,FRAN,18,4,106
FRAN,MATUSCHKA,8,3,55
FRAN,MISS OLSEN,10,2,173
FRAN,SHELDRAKE,101,14,1530
KIRKEBY,SYLVIA,30,6,370
MISS OLSEN,SHELDRAKE,10,1,129
SHELDRAKE,TOMMY,6,1,59
