speaker1,speaker2,line_count,scene_count,word_count
12-YEAR-OLD DANNY,RAV ZINGESSER,10,4,199
AVI,DANNY,12,3,106
BILLINGS,CARLETON,10,3,94
BILLINGS,DANNY,30,11,348
BRAND,DANNY,14,2,192
CARLA,DANNY,130,30,1306
CARLA'S VOICE,DANNY,11,2,117
CARLETON,DANNY,9,4,39
CURTIS,DANNY,28,8,406
CURTIS,MRS. MOEBIUS,9,3,152
DANNY,DRAKE,15,5,113
DANNY,FATHER,22,7,149
DANNY,FIRST WAITER,11,1,103
DANNY,GUY,77,8,1160
DANNY,HATE COUNSELOR,10,4,123
DANNY,KYLE,48,16,442
DANNY,LINA,25,5,204
DANNY,LINDA,16,3,210
DANNY,LINDA'S VOICE,8,1,54
DANNY,MIRIAM,32,7,363
DANNY,MRS. MOEBIUS,18,6,193
DANNY,RABBI,7,2,63
DANNY,STUART,16,5,131
DANNY,VOICE,10,3,102
MRS. MOEBIUS,REPORTER,9,2,161
