speaker1,speaker2,line_count,scene_count,word_count
ALLAN,DUDE,7,2,70
BLOND MAN,WOO,10,3,61
BRANDT,DUDE,27,9,361
CHIEF,DUDE,8,1,152
DA FINO,DUDE,14,3,149
DIETER,WALTER,13,4,100
DONNELLY,DUDE,8,3,54
DONNELLY,WALTER,10,3,69
DONNY,DUDE,20,9,144
DONNY,WALTER,59,20,538
DRIVER,DUDE,8,2,117
DUDE,LEBOWSKI,57,14,903
DUDE,MAN,13,4,106
DUDE,MAUDE,110,19,1281
DUDE,THE STRANGER,17,5,154
DUDE,TREEHORN,20,4,394
DUDE,VOICE,24,8,213
DUDE,WALTER,308,71,3525
DUDE,YOUNG MAN,34,2,324
DUDE,YOUNGER COP,16,4,122
LEBOWSKI,WALTER,11,5,121
SMOKEY,WALTER,16,5,103
