speaker1,speaker2,line_count,scene_count,word_count
ANNIE,MELANIE,111,19,1254
CATHY,LYDIA,18,6,190
CATHY,MELANIE,22,5,209
CATHY,MITCH,19,7,175
CLERK,HARRY'S VOICE,6,1,19
CLERK,MELANIE,58,6,454
DEKE,MITCH,14,5,105
DEKE,MRS. BUNDY,10,5,154
HELEN,SHOLES,7,2,72
LYDIA,MELANIE,51,9,689
LYDIA,MITCH,95,18,831
MALONE,MITCH,27,8,338
MAN,MELANIE,18,3,128
MELANIE,MITCH,296,45,2576
MELANIE,MRS. BUNDY,30,10,501
MELANIE,MRS. MACGRUDER,32,7,425
MITCH,SHOLES,19,5,212
MRS. BUNDY,SALESMAN,14,5,161
MRS. BUNDY,SHOLES,8,2,90
SALESMAN,WOMAN,10,4,98
