speaker1,speaker2,line_count,scene_count,word_count
AUGUSTUS,SMECKER,7,1,85
AUGUSTUS,YAKAVETTA,13,4,263
BOTH,MOM,8,3,98
CHAFFEY,SMECKER,15,5,188
CONNOR,DOC,11,4,77
CONNOR,MOM,24,10,288
CONNOR,MURPHY,99,32,920
CONNOR,ROCCO,68,23,905
CONNOR,ROZ,10,4,131
CONNOR,SMECKER,15,4,190
DOLLY,SMECKER,21,8,191
DONNA,ROCCO,15,3,90
DUFFY,SMECKER,35,8,782
GREENLY,SMECKER,25,9,348
MOM,MURPHY,12,6,115
MURPHY,ROCCO,57,20,606
PRIEST,ROCCO,17,5,133
PRIEST,SMECKER,30,6,366
ROCCO,VINCENZO,7,2,87
ROCCO,YAKAVETTA,12,4,217
