speaker1,speaker2,line_count,scene_count,word_count
ANGELA,LARCH,35,12,432
BUSTER,HOMER,26,5,247
BUSTER,LARCH,8,2,73
CANDY,HOMER,126,40,1347
CANDY,RAY,11,4,94
CANDY,ROSE ROSE,14,6,129
CANDY,WALLY,19,8,147
CURLY,HOMER,10,2,65
EDNA,LARCH,19,8,250
FUZZY,HOMER,9,4,89
FUZZY,LARCH,14,1,80
HOMER,LARCH,56,16,697
HOMER,MARY AGNES,6,1,44
HOMER,MR. ROSE,44,19,694
HOMER,MUDDY,8,3,87
HOMER,OLIVE,9,4,108
HOMER,ROSE ROSE,34,12,310
HOMER,WALLY,44,14,468
JACK,MR. ROSE,11,3,149
LARCH,MRS. GOODHALL,8,3,187
MAJOR WINSLOW,OLIVE,8,3,158
MR. ROSE,MUDDY,15,6,206
MR. ROSE,PEACHES,15,6,219
MR. ROSE,ROSE ROSE,17,7,184
MUDDY,PEACHES,10,4,94
