speaker1,speaker2,line_count,scene_count,word_count
BELLE,JABEZ,19,9,193
BELLE,MARY,16,4,172
DANIEL,MA STONE,9,3,80
DANIEL,MARY,11,3,118
DANIEL,WEBSTER,28,4,493
HANK,JABEZ,13,2,222
JABEZ,MA STONE,66,18,1044
JABEZ,MARY,122,35,1439
JABEZ,SCRATCH,60,13,1108
JABEZ,SHERIFF,13,4,140
JABEZ,SQUIRE,42,10,475
JABEZ,STEVENS,34,5,344
JABEZ,THE WOMAN,7,2,47
JABEZ,TOM SHARP,19,6,226
JABEZ,WEBSTER,37,12,812
MA STONE,MARY,31,12,379
MARTIN,WEBSTER,6,1,136
MARY,WEBSTER,26,5,699
OLD FARMHAND'S VOICE,WEBSTER,6,1,57
SCRATCH,STEVENS,10,1,162
SCRATCH,WEBSTER,35,7,594
