speaker1,speaker2,line_count,scene_count,word_count
ALMÁSY,CLIFTON,23,6,269
ALMÁSY,CORPORAL,6,1,111
ALMÁSY,KATHARINE,175,43,2290
ALMÁSY,MADOX,40,9,642
ALMÁSY,OFFICER,16,1,250
BOY,HANA,8,2,74
CARAVAGGIO,HANA,47,10,681
CARAVAGGIO,MÜLLER,20,6,254
CARAVAGGIO,THE PATIENT,54,13,791
CLIFTON,KATHARINE,24,5,313
CLIFTON,MADOX,15,5,170
HANA,HARDY,16,2,159
HANA,JAN,9,3,65
HANA,KIP,62,16,894
HANA,OLIVER,15,5,157
HANA,STUART,11,3,93
HANA,THE PATIENT,86,24,1117
HARDY,KIP,8,3,57
KATHARINE,LADY HAMPTON,8,2,103
KATHARINE,MADOX,11,5,202
KIP,THE PATIENT,14,4,259
OFFICER,THE PATIENT,11,2,176
