speaker1,speaker2,line_count,scene_count,word_count
BURKE,CHRIS,9,2,69
CARDINAL,KARRAS,8,1,87
CARDINAL,PRESIDENT,11,1,146
CHRIS,CLINIC DIRECTOR,8,2,206
CHRIS,DR. KLEIN,51,8,697
CHRIS,DR. TANNEY,7,2,134
CHRIS,FATHER DYER,13,4,155
CHRIS,KARL,27,9,169
CHRIS,KARRAS,89,13,850
CHRIS,KINDERMAN,31,8,405
CHRIS,REGAN,89,19,636
CHRIS,SHARON,37,10,266
CHRIS,WILLIE,7,2,24
FATHER DYER,KARRAS,13,3,114
FATHER DYER,KINDERMAN,17,2,93
KARRAS,KINDERMAN,50,4,520
KARRAS,MERRIN,44,15,530
KARRAS,MRS.KARRAS,14,4,112
KARRAS,REGAN/DEMON,45,12,372
MERRIN,REGAN/DEMON,17,6,148
NURSE,UNCLE,8,1,30
PSYCHIATRIST,REGAN,16,2,68
