speaker1,speaker2,line_count,scene_count,word_count
BUD,HELEN,8,1,35
CHARLIE,FRANK,21,4,192
DONNA,FRANK,9,3,88
DONNA,JACK,8,1,28
DR. BEASLEY,JACK,20,3,183
EARL,JACK,17,4,134
FRANK,JACK,434,91,4246
FRANK,LLOYD,12,3,113
FRANK,MONICA,17,3,163
FRANK,MR. DANIELS,8,2,83
FRANK,MRS.  BAKER,15,3,127
FRANK,MRS. BAKER,17,6,214
FRANK,NICK,7,2,58
FRANK,SUSIE,160,42,1292
FRANK,WILLIE,8,3,40
FRANK,WOMAN,27,7,215
GIRL,JACK,11,3,47
JACK,KID,12,2,108
JACK,MRS.  BAKER,17,4,100
JACK,MRS. BAKER,13,4,62
JACK,NINA,43,11,363
JACK,SUSIE,145,37,1346
JACK,TOMMY,9,2,78
JACK,WOMAN,13,4,79
