speaker1,speaker2,line_count,scene_count,word_count
CORNELIUS,DAVID,22,10,250
CORNELIUS,KORBEN,45,12,504
CORNELIUS,LEELOO,14,6,84
CORNELIUS,PRESIDENT,16,7,246
CORNELIUS,ZORG,21,6,249
DIVA,KORBEN,15,4,159
FINGER,KORBEN,25,7,212
GIRL,KORBEN,14,6,95
KOMMANDER,PRIEST,8,3,60
KORBEN,LEELOO,66,19,515
KORBEN,LOC RHOD,33,13,399
KORBEN,MOTHER,21,7,219
KORBEN,MUGGER,10,4,59
KORBEN,MUNRO,26,7,286
KORBEN,THAI,7,2,111
KORBEN,VOICE,12,5,63
MACTILBURGH,MUNRO,17,5,201
MUNRO,PRESIDENT,8,3,62
PRESIDENT,STAEDERT,15,4,125
PRIEST,PROFESSOR,9,4,77
SECRETARY,ZORG,7,1,80
SHADOW,ZORG,10,4,90
