speaker1,speaker2,line_count,scene_count,word_count
BONASERA,DON CORLEONE,18,5,316
BONASERA,HAGEN,9,3,106
CARLO,CONNIE,13,5,109
CARLO,MICHAEL,12,5,248
CLEMENZA,MICHAEL,8,3,192
CLEMENZA,PAULIE,13,6,107
CLEMENZA,SONNY,21,5,296
DON CORLEONE,HAGEN,33,9,505
DON CORLEONE,JOHNNY,10,4,196
DON CORLEONE,MICHAEL,35,7,451
DON CORLEONE,NAZORINE,7,1,83
DON CORLEONE,SOLLOZZO,13,3,239
DON TOMMASSINO,MICHAEL,19,3,240
FABRIZZIO,MICHAEL,12,3,127
FABRIZZIO,VITELLI,8,2,92
FREDO,MICHAEL,17,7,146
HAGEN,KAY,10,4,111
HAGEN,MICHAEL,22,6,330
HAGEN,SOLLOZZO,7,2,135
HAGEN,SONNY,43,11,850
HAGEN,WOLTZ,6,1,273
KAY,MICHAEL,97,23,856
MICHAEL,MOE,18,5,292
MICHAEL,NURSE,8,2,165
MICHAEL,PRIEST,8,3,57
MICHAEL,SOLLOZZO,9,4,168
MICHAEL,SONNY,43,11,656
MICHAEL,TESSIO,10,3,137
SONNY,VOICE,7,1,68
