speaker1,speaker2,line_count,scene_count,word_count
ANTHONY,MICHAEL,24,3,187
CICCI,SENATOR,6,1,59
CLEMENZA,TESSIO,10,3,153
CLEMENZA,VITO,12,5,144
CONNIE,MAMA,12,2,140
CONNIE,MICHAEL,20,4,378
DEANNA,FREDO,19,7,202
DON CORLEONE,MICHAEL,9,1,125
DON FRANCESCO,WIDOW,6,1,64
FANUCCI,VITO,10,2,271
FBI MAN #1,PENTANGELI,9,3,127
FREDO,MICHAEL,67,11,1125
FREDO,PENTANGELI,7,2,168
GENCO,VITO,24,5,278
HAGEN,KAY,23,3,507
HAGEN,MICHAEL,64,15,1291
HAGEN,NERI,13,5,172
HAGEN,PENTANGELI,21,5,307
HAGEN,ROCCO,8,3,93
HAGEN,SANDRA,18,6,239
HAGEN,SENATOR GEARY,18,3,195
HAGEN,SENATOR KANE,14,4,198
KAY,MAN,6,1,44
KAY,MICHAEL,47,7,1001
KLINGMAN,NERI,10,1,84
MAMA,MICHAEL,9,1,123
MICHAEL,OLA,13,4,229
MICHAEL,PENTANGELI,43,4,820
MICHAEL,ROCCO,9,4,56
MICHAEL,ROTH,41,9,1059
MICHAEL,SAM ROTH,8,3,96
MICHAEL,SENATOR GEARY,11,4,289
MICHAEL,SENATOR KANE,14,3,221
PENTANGELI,ROSATO,30,3,374
ROBERTO,VITO,15,5,251
