speaker1,speaker2,line_count,scene_count,word_count
AGENT,FLOYD,8,3,209
AL,BLONDE GIRL,6,1,44
AL,CASY,7,1,95
AL,GUARD,8,1,67
AL,MA,16,6,381
AL,PA,10,5,111
AL,TOM,20,8,177
BILL,MAE,8,3,50
BOOKKEEPER,MIGRANT,8,1,91
BOOKKEEPER,TOM,13,1,51
CARETAKER,DRIVER,6,1,77
CARETAKER,TOM,25,2,269
CASY,TOM,75,17,1536
CONNIE,ROSASHARN,6,1,85
COP,TOM,10,2,93
DAVIS,MULEY,7,2,165
DRIVER,TOM,25,4,260
FIRST BOY,TOM,8,1,79
FRANK,TOM,7,2,139
GIRL,MA,8,2,73
GRAMPA,PA,9,3,199
GRAMPA,TOM,10,5,134
GUARD,TOM,14,2,98
JOHN,TOM,8,2,94
MA,PA,24,9,411
MA,ROSASHARN,27,7,464
MA,TOM,97,19,1743
MAE,PA,16,5,181
MULEY,THE MAN,10,4,288
MULEY,TOM,23,6,391
PA,SECOND MAN,8,3,138
PA,TOM,28,11,452
ROSASHARN,TOM,8,3,125
RUTHIE,WINFIELD,16,4,151
RUTHIE'S VOICE,WINFIELD'S VOICE,8,3,62
SPENCER,TOM,7,1,58
TIM,TOM,8,3,84
