speaker1,speaker2,line_count,scene_count,word_count
BEN,ELENA,116,26,1500
BEN,GEORGE,18,3,311
BEN,GORMAN,7,2,73
BEN,HAROLD,29,7,466
BEN,JANEY,26,6,446
BEN,PAUL,30,7,351
BEN,WENDY,26,10,290
DOROTHY,ELENA,8,3,160
ELENA,JANEY,19,5,152
ELENA,JIM,26,7,460
ELENA,PHILIP,35,7,470
ELENA,WENDY,30,7,303
FRANCIS,LIBBETS,9,4,76
FRANCIS,PAUL,33,8,404
JANEY,JIM,6,1,56
JANEY,SANDY,7,1,48
LIBBETS,PAUL,23,6,215
MARGE,PAUL,11,1,193
MIKEY,SANDY,14,4,91
MIKEY,WENDY,28,9,151
PAUL,WENDY,30,5,216
SANDY,WENDY,39,10,304
