speaker1,speaker2,line_count,scene_count,word_count
BARBARA,LIANE,7,1,27
BARBARA,WIGAND,22,6,176
BILL ROBERTSON'S VOICE,LOWELL,8,3,148
CHARLIE PHILLIPS,LOWELL,21,4,187
DEBBIE DELUCA,LOWELL,24,7,262
DEBORAH,LIANE,8,3,49
DON HEWITT,LOWELL,30,9,787
ERIC KLUSTER,LOWELL,11,3,166
FBI AGENT #2,WIGAND,18,6,159
FELLING,LOWELL,7,2,49
HELEN CAPERELLI,LOWELL,13,3,178
HELEN CAPERELLI,MIKE WALLACE,8,3,79
JIM COOPER,LOWELL,9,3,69
JIM COOPER'S VOICE,LOWELL,13,3,95
LIANE,WIGAND,34,8,281
LIANE'S VOICE,LOWELL,9,1,37
LOWELL,MIKE WALLACE,69,19,892
LOWELL,RICHARD SCRUGGS,22,6,288
LOWELL,SHARON,31,9,292
LOWELL,THE HOTEL MANAGER'S VOICE,12,4,112
LOWELL,THE SHEIKH,10,4,159
LOWELL,WIGAND,166,42,2359
LOWELL,WIGAND'S VOICE,8,3,70
LOWELL'S VOICE,WIGAND,22,8,418
MICHAEL MOORE,RICHARD SCRUGGS,6,1,83
MIKE WALLACE,WIGAND,23,4,535
MOTLEY,TOBACCO LAWYER,8,1,225
RICHARD SCRUGGS,WIGAND,7,2,145
THOMAS SANDEFUR,WIGAND,15,3,312
