speaker1,speaker2,line_count,scene_count,word_count
ABERNATHY,DOCTOR,6,1,41
ABERNATHY,MAE ROSE,7,2,36
BISCUIT,RAY,12,4,159
BLOCKER,CLAUDE,15,3,197
BOUNCER,RAY,10,1,98
CLAUDE,DAISY,18,6,368
CLAUDE,DILLARD,10,4,138
CLAUDE,JANGLE LEG,8,2,71
CLAUDE,RAY,338,78,4667
CLAUDE,SYLVIA,12,3,111
CLAUDE,WILKINS,21,7,222
CLAUDE,YVETTE,16,2,150
COOKIE,RAY,14,5,118
DILLARD,HOPPIN' BOB,20,8,250
GOLDMOUTH,RAY,10,5,99
JAKE,LEON,13,6,170
LEON,WILLIE,12,4,215
MAMA GIBSON,RAY,14,5,290
NURSE HUMPHRIES,RAY,8,2,64
PIKE,RAY,21,7,282
PIKE,WILKINS,17,6,223
POKER FACE,RAY,9,4,63
RADIO,RAY,8,3,104
RAY,SLIM,7,2,53
RAY,SPANKY,15,6,260
RAY,WILLIE,14,5,165
