speaker1,speaker2,line_count,scene_count,word_count
ATTENDANT,LOMBARD,8,1,98
BUTLER,LOMBARD,18,4,198
DEBORAH,LOMBARD,187,38,3392
DIRECTORY ENQUIRIES OPERATOR,LOMBARD,7,2,75
EFFEMINATE WAITER,LOMBARD,8,2,54
EMILY,LOMBARD,82,27,1472
EMILY,WHITNEY,12,5,204
FRIEDMAN,LOMBARD,21,2,185
GIANT,LOMBARD,41,7,311
HYATT OPERATOR,LOMBARD,10,4,100
JANE,LOMBARD,40,8,609
LOMBARD,MANS VOICE,9,2,87
LOMBARD,MARTIN,50,14,575
LOMBARD,MOREAU,8,1,123
LOMBARD,MRS SPITZ,51,11,779
LOMBARD,NATHALIE,20,6,214
LOMBARD,OLD COWBOY,14,4,296
LOMBARD,PETER,15,5,186
LOMBARD,PHIL,18,1,242
LOMBARD,RHIAN,58,11,892
LOMBARD,THE ITALIAN,38,7,450
LOMBARD,WAITRESS,8,1,103
MAN ON DAIS,MAN WITH ITALIAN ACCENT,8,1,75
