speaker1,speaker2,line_count,scene_count,word_count
ADELE,LARDNER,20,6,239
ADELE,LUKE,90,23,1002
ADELE,PETE,36,11,614
CLYDE,PETE,38,7,703
DOYLE,PETE,19,6,279
ELDRIDGE,HARRY,9,4,74
ELDRIDGE,LARDNER,11,5,117
ELDRIDGE,PETE,15,3,134
FITTS,LUKE,15,2,299
HARRY,LUKE,81,24,995
JERRY,PETE,23,5,265
LARDNER,LUKE,11,4,125
LARDNER,PETE,24,8,236
LEO,PETE,68,9,1091
LEO,SUPER,13,3,117
LUKE,MRS. TERWILLIGER,13,4,111
LUKE,OLD TIM,14,5,159
OLD TIM,PETE,17,6,184
PETE,SANDRA,12,3,128
PETE,SAUNDERS,9,2,84
PETE,STANTON,15,6,145
