speaker1,speaker2,line_count,scene_count,word_count
AULON,CHARLES,29,9,472
AULON,DUNOIS,8,1,109
AULON,JEANNE,108,30,1299
BEAUPERE,JEANNE,46,6,501
BISHOP,YOLANDE,9,3,155
BUCK,CAUCHON,25,7,468
BURGUNDY,JEANNE,9,2,128
CATHERINE,JEANNE,10,3,88
CAUCHON,DIJON,10,2,152
CAUCHON,JEANNE,65,19,991
CHARLES,JEANNE,21,6,413
CHARLES,TREMOILLE,23,7,389
CHARLES,YOLANDE,15,4,293
D'ESTIVET,JEANNE,13,2,138
DIJON,REGNAULT,8,2,108
DUNOIS,JEANNE,43,12,685
DUNOIS,XAINTRAILLES,8,2,145
GILLES,JEANNE,29,9,310
GILLES,LA HIRE,12,5,106
JEAN LE MAISTRE,JEANNE,8,1,115
JEAN MIDI,JEANNE,15,1,142
JEANNE,LA HIRE,32,13,368
JEANNE,MAITRE MAURICE,12,1,109
JEANNE,MAN,103,23,1290
JEANNE,PRIEST,47,9,504
JEANNE,SOLDIER,9,3,59
