speaker1,speaker2,line_count,scene_count,word_count
BART,GUARD,8,2,42
BEN HARPER,JOHN HARPER,13,4,122
BEN HARPER,PREACHER,22,4,235
BIRDIE STEPTOE,JOHN HARPER,29,10,305
CLARY,RACHEL COOPER,9,4,106
CONGREGATION,WILLA HARPER,10,2,74
GROCER,RACHEL COOPER,6,1,96
ICEY SPOON,PREACHER,25,9,246
ICEY SPOON,WALT,44,13,404
ICEY SPOON,WILLA HARPER,21,4,218
JOHN HARPER,PEARL HARPER,53,19,362
JOHN HARPER,PREACHER,45,14,351
JOHN HARPER,RACHEL COOPER,21,8,152
PEARL HARPER,PREACHER,36,9,264
PREACHER,RACHEL COOPER,27,8,242
PREACHER,RUBY,13,3,97
PREACHER,WALT,19,6,158
PREACHER,WILLA HARPER,23,8,223
RACHEL COOPER,RUBY,21,5,140
