speaker1,speaker2,line_count,scene_count,word_count
ANNE,GABRIEL,11,3,108
ANNE,MARION,11,3,59
BILLINGS,GABRIEL,9,4,92
BILLINGS,MARION,20,7,219
CHARLOTTE,MARION,23,8,159
CONTINENTAL SERGEANT,TARLETON,7,2,25
CORNWALLIS,MARION,39,6,469
CORNWALLIS,TARLETON,17,6,102
GABRIEL,MARION,104,31,1165
GABRIEL,SUSAN,7,2,72
LEE,MARION,69,14,759
LEE,ROBINSON,7,2,176
MAJOR HALBERT,MARION,7,1,55
MARGARET,MARION,8,3,99
MARION,NATHAN,9,4,59
MARION,REV. OLIVER,13,5,109
MARION,THOMAS,8,3,41
MARION,WASHINGTON,13,4,141
