speaker1,speaker2,line_count,scene_count,word_count
BENEK,SZPILMAN,9,4,68
DOROTA,MICHAL,7,2,51
DOROTA,SZPILMAN,37,11,273
FATHER,SZPILMAN,10,5,106
GEBCZYNSKI,SZPILMAN,13,4,154
HALINA,SZPILMAN,12,3,59
HELLER,HENRYK,9,1,178
HELLER,SZPILMAN,13,1,79
HENRYK,MOTHER,12,5,139
HENRYK,SZPILMAN,44,12,448
JANINA,SZPILMAN,7,1,113
JEHUDA,SZPILMAN,26,6,353
JUREK,SZPILMAN,7,1,89
KITTEN'S VOICE,PUPPYDOG'S VOICE,14,2,75
MAJOREK,SZPILMAN,10,4,283
MOTHER,SZPILMAN,14,5,108
SZALAS,SZPILMAN,7,2,86
SZPILMAN,THE GERMAN CAPTAIN,23,8,158
