speaker1,speaker2,line_count,scene_count,word_count
ALBINO,WESTLEY,8,2,170
BUTTERCUP,HUMPERDINCK,23,8,326
BUTTERCUP,MAN IN BLACK,33,10,593
BUTTERCUP,WESTLEY,47,14,807
FEZZIK,INIGO,52,17,557
FEZZIK,MAN IN BLACK,16,6,332
FEZZIK,VIZZINI,24,8,257
GRANDFATHER,THE KID,57,18,914
HUMPERDINCK,RUGEN,18,7,472
HUMPERDINCK,WESTLEY,16,4,212
HUMPERDINCK,YELLIN,13,3,133
INIGO,MAN IN BLACK,49,17,620
INIGO,MIRACLE MAX,26,9,492
INIGO,RUGEN,10,4,64
INIGO,VIZZINI,19,7,332
INIGO,WESTLEY,24,10,330
MAN IN BLACK,VIZZINI,35,10,639
MIRACLE MAX,VALERIE,21,4,235
MOTHER,THE KID,9,1,45
