speaker1,speaker2,line_count,scene_count,word_count
AUGUST,MARY,32,6,404
AUGUST,RADEAU,6,1,49
BRUNS,JACQUELINE,10,3,96
DR. JUDD,GREGORY,25,8,277
DR. JUDD,MISS SUMMERS,7,2,65
FRANCES,MARY,28,6,312
FRANCES,MRS. REDI,13,2,87
GREGORY,JASON,27,9,322
GREGORY,MARY,71,19,1097
JACQUELINE,MARY,8,3,61
JACQUELINE,MIMI,12,2,101
JASON,JUDD,48,14,561
JASON,MARY,58,15,825
JASON,MISS GOTTSCHALK,11,4,137
JASON,MRS. ROMARI,9,4,185
JUDD,MARY,12,5,135
JUDD,MRS. CORTEZ,38,8,692
MARY,MRS. LOWOOD,11,3,188
MARY,MRS. REDI,24,7,336
MARY,MRS. ROMARI,9,3,157
MARY,NANCY,10,3,74
MARY,ROMARI,9,3,91
MR. BRUNS,MRS. REDI,10,4,160
MRS. CORTEZ,MRS. REDI,9,4,116
