speaker1,speaker2,line_count,scene_count,word_count
BILLIE,SINGLETON,8,3,95
BILLIE,SNYDER,16,3,182
BLACK MAN,STRANGER,26,5,368
BOUDREAU,TWIST,12,4,193
COLEMAN,HOOKER,27,4,452
COMBS,GRANGER,11,2,202
COMBS,LONNEGAN,8,2,142
DUFF,TWIST,6,1,64
EIRIE KID,HOOKER,19,4,304
FLOYD,LONNEGAN,27,6,389
GARFIELD,NILES,12,3,267
GONDORFF,HOOKER,90,24,1189
GONDORFF,LONNEGAN,22,9,181
GONDORFF,NILES,16,6,204
GONDORFF,SINGLETON,12,5,171
GUNMAN,HOOKER,6,1,56
HOOKER,JIMMY,9,3,110
HOOKER,LONNEGAN,62,17,819
HOOKER,LORETTA,31,8,286
HOOKER,MAN,13,3,316
HOOKER,POLK,18,5,315
HOOKER,SNYDER,10,3,162
HOOKER,TWIST,10,3,121
LONNEGAN,RILEY,7,1,80
LONNEGAN,TWIST,12,3,254
OLD MAN,TWIST,6,1,66
POLK,SNYDER,15,2,307
