speaker1,speaker2,line_count,scene_count,word_count
ALISON,MITCHELL,50,10,461
BILLY,MARY,8,3,87
BILLY,MITCHELL,19,5,301
BILLY,NICOLE,19,5,131
BILLY,RISA,39,11,357
BILLY,SAM,24,6,519
DOLORES,MITCHELL,62,14,708
DOLORES,WANDA,12,3,106
HARTLEY,MITCHELL,8,3,95
MARY,NICOLE,21,6,168
MARY,SAM,9,3,88
MASON,NICOLE,24,4,222
MITCHELL,NICOLE,20,6,272
MITCHELL,PETER,10,2,49
MITCHELL,RISA,25,8,222
MITCHELL,SCHWARTZ,10,5,88
MITCHELL,STEWARDESS,11,2,71
MITCHELL,WANDA,26,6,393
MITCHELL,WENDELL,10,3,102
MITCHELL,ZOE,41,9,453
NICOLE,SAM,62,17,628
NICOLE,SCHWARTZ,53,12,520
RISA,WENDELL,9,4,100
