speaker1,speaker2,line_count,scene_count,word_count
1ST REPORTER,GILBERT,9,1,84
1ST REPORTER,NICK,10,4,79
ANDREW,DOROTHY,19,8,171
ANDREW,NICK,8,2,44
ANDREW,WYNANT,8,3,39
ANDY,DOROTHY,26,3,278
DOROTHY,MACAULAY,9,3,70
DOROTHY,MIMI,33,9,285
DOROTHY,NICK,52,13,403
DOROTHY,WYNANT,38,8,383
DR. WALTON,NICK,9,2,55
GILBERT,MIMI,16,5,143
GUILD,MACAULAY,18,3,156
GUILD,MIMI,19,5,181
GUILD,NICK,82,21,926
GUILD,NORA,11,5,110
GUILD,NUNHEIM,18,6,342
JORGENSEN,MIMI,19,3,135
JULIA,WYNANT,31,4,448
MACAULAY,NICK,33,9,571
MACAULAY,NORA,12,5,81
MACAULAY,WYNANT,20,4,144
MIMI,NICK,39,12,508
MORELLI,NICK,24,5,452
NICK,NORA,224,45,2238
NICK,TANNER,18,3,262
NORA,PEPPLER,7,2,50
TANNER,WYNANT,8,1,81
TOM,WYNANT,10,2,52
