speaker1,speaker2,line_count,scene_count,word_count
BENNINGS,MACREADY,13,6,92
BLAIR,CLARK,15,5,211
BLAIR,GARRY,18,6,179
BLAIR,MACREADY,15,4,231
BLAIR,NAULS,9,3,184
CHILDS,GARRY,8,3,77
CHILDS,MACREADY,64,24,550
CHILDS,NAULS,14,5,156
CHILDS,PALMER,26,11,219
DR. COPPER,GARRY,12,4,127
DR. COPPER,MACREADY,23,10,156
DR. COPPER,NORRIS,9,3,78
FUCHS,GARRY,8,3,39
GARRY,MACREADY,20,9,192
GARRY,SANCHEZ,9,3,75
MACREADY,NAULS,27,11,309
MACREADY,NORRIS,17,5,129
MACREADY,PALMER,23,10,161
MACREADY,SANCHEZ,11,5,134
NAULS,SANCHEZ,10,3,69
