speaker1,speaker2,line_count,scene_count,word_count
ABRAMS,GALVIN,7,1,27
ALITO,BISHOP,16,2,248
ALITO,YOUNG LAWYER,8,1,51
BISHOP,GALVIN,12,2,233
CLAIRE,GALVIN,18,5,161
CONCANNON,DR. THOMPSON,30,2,251
CONCANNON,DR. TOWLER,40,6,322
CONCANNON,GALVIN,9,3,56
CONCANNON,JUDGE,15,6,319
CONCANNON,KATHY,32,3,432
DONEGHY,GALVIN,21,6,434
DR. THOMPSON,GALVIN,25,5,305
DR. THOMPSON,JUDGE,7,2,65
DR. THOMPSON,MICKEY,16,2,214
DR. TOWLER,GALVIN,11,2,168
GALVIN,GRUBER,32,9,370
GALVIN,JIMMY,8,3,94
GALVIN,JUDGE,49,13,841
GALVIN,KATHY,32,6,192
GALVIN,LAURA,81,12,830
GALVIN,MAID,9,2,112
GALVIN,MARY ROONEY,23,2,342
GALVIN,MICKEY,110,25,1346
GALVIN,ROONEY,8,1,53
GALVIN,SALLY,26,5,333
GALVIN,TOWLER,24,2,201
GALVIN,VOICE,28,3,208
LAURA,MICKEY,14,2,342
